T, K  Ar(1)	Ar(2) (atoms/position 16)
90.09	12.10214	8.46164
90.3	12.15082	8.42357
90.48	12.01433	8.49865
90.67	11.9278	8.55133
90.84	11.82283	8.61583
91.03	11.68304	8.68375
91.24	11.5744	8.74269
91.45	11.47474	8.81288
91.62	11.32513	8.87398
91.81	11.24226	8.9241
92.02	11.09169	9.01622
92.21	10.96957	9.0647
92.37	10.88097	9.1251
92.56	10.75173	9.18964
92.75	10.64263	9.25269
92.94	10.50649	9.32304
93.18	10.3539	9.40371
93.4	10.216	9.4908
93.64	10.05841	9.58253
93.92	9.90711	9.65786
94.18	9.75349	9.75544
94.41	9.63602	9.81564
94.65	9.48243	9.89726
94.88	9.35598	9.97661
95.13	9.22593	10.05124
95.35	9.09019	10.11087
95.56	8.97652	10.18504
95.79	8.87616	10.23254
96.02	8.75523	10.30077
96.19	8.67713	10.33756
96.42	8.55984	10.39412
96.61	8.47364	10.45375
96.78	8.39667	10.49948
96.98	8.30989	10.55479
97.14	8.22943	10.597
97.29	8.16762	10.62966
97.45	8.10546	10.66593
97.58	8.03272	10.7027
97.74	7.97548	10.72482
97.84	7.92929	10.7614
98.01	7.82774	10.81313
98.18	7.74311	10.85575
98.36	7.6497	10.90785
98.59	7.55504	10.95924
98.83	7.41976	11.0289
99.08	7.28063	11.11516
99.39	7.10747	11.2092
99.73	6.94969	11.29371
100.15	6.75659	11.40584
100.55	6.54206	11.5278
101.01	6.30008	11.66002
101.55	6.06252	11.79393
102.2	5.78519	11.94586
102.86	5.52273	12.08685
103.6	5.23683	12.24456
104.43	4.95878	12.39759
105.35	4.6751	12.54798
106.41	4.38234	12.71315
107.53	4.09896	12.86137
108.78	3.82819	13.00487
110.15	3.55783	13.14492
111.65	3.31264	13.2533
113.3	3.10442	13.34856
115.11	2.87522	13.45228
117.16	2.703	13.48865
119.5	2.54762	13.48988
122.25	2.40075	13.49138
125.23	2.2744	13.44479
128.56	2.16693	13.33356
132	2.0761	13.19158
135.47	1.9926	12.97053
138.87	1.92003	12.69646
142.36	1.85041	12.35951
145.83	1.7883	11.95461
149.33	1.70354	11.49767
152.74	1.61953	10.96446
156.2	1.55539	10.3695
159.74	1.46964	9.70494
163.23	1.38095	9.01683
166.69	1.29329	8.31205
170.13	1.21677	7.61164
173.62	1.1156	6.93238
177.11	1.04899	6.25744
180.55	0.96279	5.62517
183.95	0.88883	5.04535
187.44	0.82029	4.50527
190.79	0.74146	4.04259
194.08	0.68316	3.58623
196.94	0.63269	3.13525
200.64	0.57516	2.81736
205.02	0.51139	2.48032
208.5	0.47302	2.2178
211.99	0.45188	1.96528
215.37	0.40167	1.7786
218.89	0.39408	1.58428
222.41	0.39499	1.40659
225.81	0.34559	1.2755
229.28	0.36328	1.14799
232.77	0.34265	1.03405
236.28	0.30892	0.94991
239.77	0.32007	0.8565
243.25	0.3107	0.78518
246.68	0.2948	0.71273
250.18	0.30447	0.64933
253.68	0.28812	0.58885
257.22	0.26946	0.54034
260.66	0.2743	0.48971
264.1	0.26082	0.42853
267.6	0.26616	0.4114
271.07	0.29138	0.36209
274.62	0.25162	0.34046
278.03	0.26773	0.29135
281.49	0.25449	0.27183
285.03	0.23904	0.25532
288.49	0.14543	0.19423
292.04	0.12751	0.18238
295.37	0.22913	0.19881
